trade_id,side,entry_time,exit_time,entry_price,exit_price,quantity,position_value,pnl_net,pnl_net_pct,runup_usd,runup_pct,drawdown_usd,drawdown_pct,equity,peak_equity,equity_drawdown,trade_duration_min
17,LONG,2011-04-18 00:00:00,2011-04-18 03:15:00,1316.25,1312.5,3,3948.75,-562.5,-0.28,150.0,0.08,-562.5,-0.28,5587.5,8587.5,-3000.0,195.0
18,LONG,2011-04-18 09:00:00,2011-04-20 07:30:00,1300.5,1326.0,3,3901.5,3825.0,1.96,4237.5,2.17,-1537.5,-0.79,9412.5,9412.5,0.0,2790.0
19,LONG,2011-04-25 01:30:00,2011-04-28 06:45:00,1333.0,1351.0,3,3999.0,2700.0,1.35,3487.5,1.74,-862.5,-0.43,12112.5,12112.5,0.0,4635.0
20,LONG,2011-05-03 14:00:00,2011-05-04 10:00:00,1347.75,1341.25,3,4043.25,-975.0,-0.48,1087.5,0.54,-975.0,-0.48,11137.5,12112.5,-975.0,1200.0
21,LONG,2011-05-09 08:45:00,2011-05-11 05:15:00,1335.25,1358.25,3,4005.75,3450.0,1.72,3450.0,1.72,-112.5,-0.06,14587.5,14587.5,0.0,2670.0
22,LONG,2011-05-16 04:45:00,2011-05-16 15:45:00,1329.5,1324.75,3,3988.5,-712.5,-0.36,1762.5,0.88,-712.5,-0.36,13875.0,14587.5,-712.5,660.0
23,LONG,2011-05-16 15:45:00,2011-05-17 11:30:00,1324.75,1318.0,3,3974.25,-1012.5,-0.51,1087.5,0.55,-1012.5,-0.51,12862.5,14587.5,-1725.0,1185.0
24,LONG,2011-05-23 23:00:00,2011-05-24 20:45:00,1316.75,1309.0,3,3950.25,-1162.5,-0.59,862.5,0.44,-1162.5,-0.59,11700.0,14587.5,-2887.5,1305.0
25,LONG,2011-05-24 20:45:00,2011-05-27 07:00:00,1309.25,1327.5,3,3927.75,2737.5,1.39,3225.0,1.64,-1050.0,-0.53,14437.5,14587.5,-150.0,3495.0
26,LONG,2011-06-01 14:30:00,2011-06-01 18:00:00,1319.25,1311.0,3,3957.75,-1237.5,-0.63,300.0,0.15,-1237.5,-0.63,13200.0,14587.5,-1387.5,210.0
27,LONG,2011-06-01 18:00:00,2011-06-02 11:45:00,1311.0,1304.25,3,3933.0,-1012.5,-0.51,1012.5,0.51,-1012.5,-0.51,12187.5,14587.5,-2400.0,1065.0
